ticker,company,contract_id,security_type,instrument_status,exchange,sector,industry,price,market_cap,avg_dollar_volume,return_1m,return_3m,return_6m,return_12m,drawdown_52w,historical_volatility,trading_history_days,momentum_history_status,history_data_status,as_of,percent_unit,market_cap_applicability,market_cap_source
SJT,San Juan Basin Royalty Trust Common Stock,nasdaqtrader:N:SJT,common_equity,eligible,N,,,2.6,,712850.1115873016,-4.4117647058823595,-37.198067632850226,-53.81882770870337,-55.40308747855918,59.8145285935085,53.92789825622919,276,full,usable,2026-08-10,percent,deferred,
SKE,Skeena Resources Limited Common Shares,nasdaqtrader:N:SKE,common_equity,eligible,N,,,33.06,,22503532.53190476,21.365638766519844,3.9295818924866444,5.186127903277127,110.03811944091488,13.273871983210906,63.28591659168954,276,full,usable,2026-08-10,percent,deferred,
SKHY,SK hynix Inc. - American Depositary Shares,nasdaqtrader:Q:SKHY,adr,eligible,Q,,,135.29,,7322275551.813181,-19.475031248139995,,,,30.234117161716167,,22,insufficient,usable,2026-08-10,percent,optional,
SKIL,Skillsoft Corp. Class A Common Stock,nasdaqtrader:N:SKIL,common_equity,eligible,N,,,9.31,,680902.2349206349,30.75842696629214,8.634772462077024,19.206145966709354,-35.57093425605535,48.0178671133445,110.90072340405344,276,full,usable,2026-08-10,percent,deferred,
SKK,SKK Holdings Limited - Class A Ordinary Shares,nasdaqtrader:Q:SKK,common_equity,eligible,Q,,,4.5,,749273.4297412698,-4.862579281183943,-16.356877323420072,57.83935461241669,0.6486244687989196,63.084495488105,50.91921604617779,276,full,usable,2026-08-10,percent,deferred,
SKM,"SK Telecom Co., Ltd. Common Stock",nasdaqtrader:N:SKM,common_equity,eligible,N,,,33.29,,101557372.62269843,0.18055973517905333,-12.094005809347763,17.135819845179444,48.61607142857143,27.630434782608692,64.64041099274705,276,full,usable,2026-08-10,percent,deferred,
SKT,Tanger Inc. Common Stock,nasdaqtrader:N:SKT,common_equity,eligible,N,,,38.65,,39908466.45968254,-2.472874085288934,6.268902941985166,15.201192250372575,21.008140262993113,8.21657563524104,20.34071039465885,276,full,usable,2026-08-10,percent,deferred,
SKWD,"Skyward Specialty Insurance Group, Inc. - Common Stock",nasdaqtrader:Q:SKWD,common_equity,eligible,Q,,,62.0,,29330910.416031748,4.482642399730352,32.79074748340116,40.97316962255573,26.041878430575327,5.531007161359125,39.21458372488022,276,full,usable,2026-08-10,percent,deferred,
SKY,"Champion Homes, Inc. Common Stock",nasdaqtrader:N:SKY,common_equity,eligible,N,,,92.99,,63590006.96904762,14.477409823956645,27.66337177375067,11.245364278023672,37.76296296296295,4.586497024420277,47.565726060304634,276,full,usable,2026-08-10,percent,deferred,
SKYA,"SkyAI, Inc. - Common Stock",nasdaqtrader:Q:SKYA,common_equity,eligible,Q,,,1.25,,323811.8127777777,7.758620689655182,-37.5,-24.242424242424242,-75.0,92.20212102308172,72.62821522256625,276,full,usable,2026-08-10,percent,deferred,
SKYH,Sky Harbour Group Corporation Class A Common Stock,nasdaqtrader:N:SKYH,common_equity,eligible,N,,,11.1,,1682156.907936508,12.34817813765181,11.782477341389729,22.787610619469035,7.14285714285714,0.8928571428571397,31.64400179244063,276,full,usable,2026-08-10,percent,deferred,
SKYQ,Sky Quarry Inc. - Common Stock,nasdaqtrader:Q:SKYQ,common_equity,eligible,Q,,,3.73,,32965654.75079365,17.295597484276716,-4.6035805626598485,65.77777777777779,8.873321657910104,70.37331215250198,255.48930048307602,276,full,usable,2026-08-10,percent,deferred,
SKYW,"SkyWest, Inc. - Common Stock",nasdaqtrader:Q:SKYW,common_equity,eligible,Q,,,107.67,,41355956.32261904,7.972322503008433,22.033321999319956,1.6138165345413347,-3.6768652710681637,12.972841901066923,44.57493669806468,276,full,usable,2026-08-10,percent,deferred,
SKYX,SKYX Platforms Corp. - Common Stock,nasdaqtrader:Q:SKYX,common_equity,eligible,Q,,,1.22,,1707160.145588889,-3.937007874015752,-10.294117647058831,-45.2914798206278,14.018691588785037,61.0223642172524,91.77072848144114,276,full,usable,2026-08-10,percent,deferred,
SKYY,First Trust Cloud Computing ETF,US:SKYY,etf,eligible,Q,,,160.78,,50475626.18126984,15.035953207169195,23.781661405804932,42.699920120706494,31.356209150326798,0.0,28.201707395686892,276,full,usable,2026-08-10,percent,not_applicable,
SLAB,"Silicon Laboratories, Inc. - Common Stock",nasdaqtrader:Q:SLAB,common_equity,eligible,Q,,,218.43,,88250395.25253968,-0.09147875405935979,0.45067831685445814,5.777239709443105,75.68567521917477,0.866842153036218,3.3850423209311074,276,full,usable,2026-08-10,percent,deferred,
SLB,SLB Limited Common Shares,nasdaqtrader:N:SLB,common_equity,eligible,N,,,53.2,,720046363.7423809,11.390284757118941,-0.13140604467805073,4.930966469428011,62.24458676425741,8.291673849336313,42.38431332731476,276,full,usable,2026-08-10,percent,deferred,
SLBT,SL Science Holding Limited - Ordinary Shares,nasdaqtrader:Q:SLBT,common_equity,eligible,Q,,,2.83,,5696386.1874,-40.169133192389005,-63.92606755895475,-73.30188679245283,-72.44401168451802,77.91064347934685,187.56535474017292,276,full,usable,2026-08-10,percent,deferred,
SLDB,Solid Biosciences Inc. - Common Stock,nasdaqtrader:Q:SLDB,common_equity,eligible,Q,,,8.56,,14063558.492063493,-17.85028790786948,17.744154057771677,31.28834355828223,38.2875605815832,23.22869955156951,58.24533015021144,276,full,usable,2026-08-10,percent,deferred,
SLDE,"Slide Insurance Holdings, Inc. - Common Stock",nasdaqtrader:Q:SLDE,common_equity,eligible,Q,,,20.66,,23747970.945238095,-2.730696798493404,11.917659804983739,17.120181405895686,19.560185185185187,6.684733514001806,50.68350104597749,276,full,usable,2026-08-10,percent,deferred,
SLDP,"Solid Power, Inc. - Class A Common Stock",nasdaqtrader:Q:SLDP,common_equity,eligible,Q,,,2.35,,14044702.379285714,1.2931034482758674,-23.57723577235773,-40.50632911392405,-47.54464285714286,72.38542890716803,63.86963177902737,276,full,usable,2026-08-10,percent,deferred,
SLE,"Super League Enterprise, Inc. - Common Stock",nasdaqtrader:Q:SLE,common_equity,eligible,Q,,,3.04,,4582271.370955555,4.288164665523153,-28.1323877068558,-33.18681318681318,-93.85113268608414,97.02311006658833,62.2555576371548,276,full,usable,2026-08-10,percent,deferred,
SLF,Sun Life Financial Inc. Common Stock,nasdaqtrader:N:SLF,common_equity,eligible,N,,,82.63,,51955519.68079365,3.403829307971473,17.941764202112466,26.71369421867813,34.37957391445763,1.7128583323420932,15.376205249777955,276,full,usable,2026-08-10,percent,deferred,
SLG,SL Green Realty Corp Common Stock,nasdaqtrader:N:SLG,common_equity,eligible,N,,,55.05,,55182040.301746026,13.085456039441246,20.32786885245901,25.914913083257083,1.120499632623062,16.17176793056191,37.088153174737016,276,full,usable,2026-08-10,percent,deferred,
SLGL,Sol-Gel Technologies Ltd. - Ordinary Shares,nasdaqtrader:Q:SLGL,common_equity,eligible,Q,,,84.74,,3138360.030396825,14.59093982420554,19.587919841941858,28.823350562480996,480.01368925393564,13.5041339185465,60.93812030891659,276,full,usable,2026-08-10,percent,deferred,
SLGN,Silgan Holdings Inc. Common Stock,nasdaqtrader:N:SLGN,common_equity,eligible,N,,,41.15,,48633417.913333334,-8.514895509115162,2.210630899155497,-15.831458375946006,-11.733161733161735,15.831458375946006,45.7645485480335,276,full,usable,2026-08-10,percent,deferred,
SLI,Standard Lithium Ltd. Common Shares,nasdaqtrader:A:SLI,common_equity,eligible,A,,,2.53,,5560720.002063492,2.8455284552845406,-35.623409669211206,-42.237442922374434,-5.597014925373145,55.221238938053105,64.25136204002902,276,full,usable,2026-08-10,percent,deferred,
SLM,SLM Corporation - Common Stock,nasdaqtrader:Q:SLM,common_equity,eligible,Q,,,27.32,,67030276.83714286,9.455128205128194,21.584334668446825,0.073260073260073,-13.434727503168563,17.437292233303125,33.09424500788376,276,full,usable,2026-08-10,percent,deferred,
SLMT,Brera Holdings PLC - Class B Ordinary Shares,nasdaqtrader:Q:SLMT,common_equity,eligible,Q,,,3.98,,583607.2282539683,-18.609406952965234,-38.33281685776263,-65.68965517241378,-93.5702746365105,98.69078947368422,139.24729992670342,276,full,usable,2026-08-10,percent,deferred,
SLN,Silence Therapeutics Plc - American Depository Share,nasdaqtrader:Q:SLN,adr,eligible,Q,,,15.43,,8128541.355396825,69.74697469746975,121.37733142037304,224.84210526315792,186.80297397769516,0.0,103.1001853918261,276,full,usable,2026-08-10,percent,optional,
SLND,"Southland Holdings, Inc. Common Stock",nasdaqtrader:A:SLND,common_equity,eligible,A,,,0.6087,,4210613.27833492,-10.008870490833822,-40.90291262135922,-66.73770491803279,-86.38255033557047,87.31875,205.70554812989,276,full,usable,2026-08-10,percent,deferred,
SLNG,"Stabilis Solutions, Inc. - Common Stock",nasdaqtrader:Q:SLNG,common_equity,eligible,Q,,,5.005,,194569.87471904763,26.07052896725439,24.812967581047385,-9.65703971119134,12.471910112359552,14.590443686006838,100.99212255472239,276,full,usable,2026-08-10,percent,deferred,
SLNH,"Soluna Holdings, Inc. - Common Stock",nasdaqtrader:Q:SLNH,common_equity,eligible,Q,,,1.2,,28968985.259920634,-4.761904761904767,-34.42622950819673,17.647058823529417,140.04800960192037,72.85067873303169,100.72810579925043,276,full,usable,2026-08-10,percent,deferred,
SLP,"Simulations Plus, Inc. - Common Stock",nasdaqtrader:Q:SLP,common_equity,eligible,Q,,,18.35,,7777512.904444445,0.6030701754386136,10.011990407673865,25.94371997254634,30.51209103840684,11.948176583493275,4.7943703359663745,276,full,usable,2026-08-10,percent,deferred,
SLQT,"SelectQuote, Inc. Common Stock",nasdaqtrader:N:SLQT,common_equity,eligible,N,,,0.6991,,1385819.9951952382,-9.17240483305184,-37.580357142857146,-36.445454545454545,-62.413978494623656,74.01115241635688,84.70242821043055,276,full,usable,2026-08-10,percent,deferred,
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",nasdaqtrader:Q:SLS,common_equity,eligible,Q,,,11.04,,101043251.55619048,-13.479623824451414,120.35928143712576,195.97855227882036,590.0,28.543689320388353,118.28091140631858,276,full,usable,2026-08-10,percent,deferred,
SLSN,"Solesence, Inc. - Common stock",nasdaqtrader:Q:SLSN,common_equity,eligible,Q,,,1.035,,94567.40414920634,53.21983715766099,-23.33333333333334,-24.452554744525557,-66.61290322580645,76.26146788990826,128.3346726772469,276,full,usable,2026-08-10,percent,deferred,
SLSR,Solaris Resources Inc. Common Shares,nasdaqtrader:A:SLSR,common_equity,eligible,A,,,8.25,,1380212.5923809523,3.7735849056603765,-19.038272816486746,-17.82868525896414,57.74378585086042,25.876010781671166,58.39908705201899,276,full,usable,2026-08-10,percent,deferred,
SLVM,Sylvamo Corporation Common Stock,nasdaqtrader:N:SLVM,common_equity,eligible,N,,,40.3,,13225968.815714285,2.8586013272077437,-1.946472019464729,-20.575482853764292,-15.760869565217405,26.379247351114365,44.13801927009491,276,full,usable,2026-08-10,percent,deferred,
SLXN,Silexion Therapeutics Corp - Ordinary Shares,nasdaqtrader:Q:SLXN,common_equity,eligible,Q,,,1.5,,3208231.6182142855,-42.08494208494208,-71.42857142857143,-90.6832298136646,-98.25174825174825,98.17739975698665,159.16524724474945,276,full,usable,2026-08-10,percent,deferred,
SM,SM Energy Company Common Stock,nasdaqtrader:N:SM,common_equity,eligible,N,,,31.76,,119690519.51666667,14.203523912261783,7.880434782608692,50.66413662239091,21.36033626289644,8.76185004309107,62.557902378190256,276,full,usable,2026-08-10,percent,deferred,
SMA,"SmartStop Self Storage REIT, Inc. Common Stock",nasdaqtrader:N:SMA,common_equity,eligible,N,,,33.99,,23287751.58079365,3.031221582297672,4.391891891891886,6.0199625701809145,-1.81975736568456,12.82380097460888,29.08594080780478,276,full,usable,2026-08-10,percent,deferred,
SMBC,"Southern Missouri Bancorp, Inc. - Common Stock",nasdaqtrader:Q:SMBC,common_equity,eligible,Q,,,76.46,,7583225.778809524,2.741198602526196,10.45940479630163,16.732824427480896,47.46383799421405,3.617799067187699,20.94983307380295,276,full,usable,2026-08-10,percent,deferred,
SMBK,"SmartFinancial, Inc. Common Stock",nasdaqtrader:N:SMBK,common_equity,eligible,N,,,51.27,,5201906.958730158,10.281781028178095,21.26300851466414,19.260293091416614,55.646630236794195,3.682134134886328,23.211946440133985,276,full,usable,2026-08-10,percent,deferred,
SMC,Summit Midstream Corporation Common Stock,nasdaqtrader:N:SMC,common_equity,eligible,N,,,31.84,,1919855.882063492,4.702400526142725,6.917394224311613,11.79775280898876,28.180354267310783,2.421084891204417,36.1001577724803,276,full,usable,2026-08-10,percent,deferred,
SMCI,"Super Micro Computer, Inc. - Common Stock",nasdaqtrader:Q:SMCI,common_equity,eligible,Q,,,31.46,,1718507242.1257143,11.126810314376545,-11.05456601639807,-8.4933100639907,-32.59052924791086,46.387184730743016,94.51366192421699,276,full,usable,2026-08-10,percent,deferred,
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),nasdaqtrader:N:SMFG,adr,eligible,N,,,25.32,,48407566.28904762,-1.6317016317016209,18.152123191787204,9.895833333333348,62.41180243745992,4.452830188679247,30.56662248632664,276,full,usable,2026-08-10,percent,optional,
SMG,Scotts Miracle-Gro Company (The) Common Stock,nasdaqtrader:N:SMG,common_equity,eligible,N,,,62.27,,62780371.09190476,-4.902260232131949,1.94826457105437,-6.135061802833885,3.8352509588127415,15.244317408466035,48.699392462579844,276,full,usable,2026-08-10,percent,deferred,
SMH,VanEck Semiconductor ETF,US:SMH,etf,eligible,Q,,,569.41,,6920345475.973174,-6.811449519663515,0.5065838246196108,41.76770820365989,95.59288266007144,14.874945807358241,51.793546482149324,276,full,usable,2026-08-10,percent,not_applicable,
SMHI,SEACOR Marine Holdings Inc. Common Stock,nasdaqtrader:N:SMHI,common_equity,eligible,N,,,9.69,,1014060.589047619,24.230769230769234,30.241935483870954,35.33519553072624,44.196428571428555,0.0,74.66615104995905,276,full,usable,2026-08-10,percent,deferred,
SMID,Smith-Midland Corporation - Common Stock,nasdaqtrader:Q:SMID,common_equity,eligible,Q,,,27.55,,424719.40103174606,-8.074741408074736,-20.833333333333325,-24.644420131291035,-24.041907912875658,36.285846438482885,37.723548095694944,276,full,usable,2026-08-10,percent,deferred,
SMJF,SMJ International Holdings Inc. Class A Ordinary Shares,nasdaqtrader:A:SMJF,common_equity,eligible,A,,,8.83,,4008598.8825396826,63.21626617375231,160.47197640117994,65.97744360902256,,0.0,83.97211347784396,170,limited_but_usable,usable,2026-08-10,percent,deferred,
SMMT,Summit Therapeutics Inc.  - Common Stock,nasdaqtrader:Q:SMMT,common_equity,eligible,Q,,,14.87,,73133367.25968254,-2.4918032786885314,-17.754424778761056,-0.8005336891260928,-47.02529390808693,48.11584089323099,64.35457652447138,276,full,usable,2026-08-10,percent,deferred,
SMP,"Standard Motor Products, Inc. Common Stock",nasdaqtrader:N:SMP,common_equity,eligible,N,,,39.63,,5359338.327777778,5.764611689351495,-1.9059405940593965,-10.197144799456147,8.575342465753423,12.206468763845812,38.07908633489037,276,full,usable,2026-08-10,percent,deferred,
SMPL,The Simply Good Foods Company - Common Stock,nasdaqtrader:Q:SMPL,common_equity,eligible,Q,,,10.81,,28693665.888730157,-15.348472983555206,-11.827079934747143,-37.62261973456433,-63.978673775408204,64.16970500497183,58.76845027633363,276,full,usable,2026-08-10,percent,deferred,
