ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id
BSY,"Bentley Systems, Incorporated - Class B Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BSY,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTAI,"BioXcel Therapeutics, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BTAI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTBD,"BT Brands, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BTBD,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTBT,"Bit Digital, Inc. - Ordinary Share",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BTBT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTCS,BTCS Inc. - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BTCS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTCT,BTC Digital Ltd. - Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BTCT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTDR,Bitdeer Technologies Group - Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BTDR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTE,Baytex Energy Corp Common Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BTE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTG,B2Gold Corp Common shares (Canada),A,,,common_equity,eligible,True,N,N,,nasdaqtrader:A:BTG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTGO,"BitGo Holdings, Inc. Class A Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BTGO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTMD,Biote Corp. - Class A common stock,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BTMD,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTOG,Bit Origin Limited - Class A Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BTOG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTQ,BTQ Technologies Corp. - Common Stock,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BTQ,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTSG,"BrightSpring Health Services, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BTSG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTTC,Black Titan Corp - Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BTTC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BTU,Peabody Energy Corporation Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BTU,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BUDA,"Buda Juice, Inc. Common Stock",A,,,common_equity,eligible,True,N,N,,nasdaqtrader:A:BUDA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BULL,Webull Corporation - Class A Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BULL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BUR,Burford Capital Limited Ordinary Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BUR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BURL,"Burlington Stores, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BURL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BUSE,First Busey Corporation - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BUSE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BUUU,BUUU Group Limited - Class A Ordinary Share,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BUUU,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BV,"BrightView Holdings, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BV,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BVC,BitVentures Limited - Ordinary Share,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BVC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BVFL,"BV Financial, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BVFL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BVS,Bioventus Inc. - Class A Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BVS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BW,"Babcock & Wilcox Enterprises, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BW,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BWA,BorgWarner Inc. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:BWA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BWB,"Bridgewater Bancshares, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BWB,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BWEN,"Broadwind, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BWEN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
BWFG,"Bankwell Financial Group, Inc. - Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:BWFG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
