ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id,identity_resolution_required,identity_resolution_reason
SOFI,"SoFi Technologies, Inc.  - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SOFI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SOLS,Solstice Advanced Materials Inc. - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SOLS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SOLV,Solventum Corporation Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SOLV,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SON,Sonoco Products Company Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SON,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SONO,"Sonos, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SONO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SOPH,SOPHiA GENETICS SA - Ordinary Shares,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SOPH,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SOR,"Source Capital, Inc. Cmn Shs of BI",N,,,common_equity,eligible,True,N,N,,qrgf-resolution-required:N:SOR,requires_authoritative_resolution_before_L3,,,,nasdaq_trader_all_us_listed,True,instrument_resolution_required
SORA,AsiaStrategy - Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SORA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SOS,SOS Limited Class A Ordinary Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SOS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SOTK,Sono-Tek Corporation - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SOTK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SOUN,"SoundHound AI, Inc. - Class A Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SOUN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SOWG,Sow Good Inc. - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SOWG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPAI,Safe Pro Group Inc. - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SPAI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPB,"Spectrum Brands Holdings, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SPB,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPCB,"SuperCom, Ltd. - Ordinary Shares",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SPCB,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPCE,"Virgin Galactic Holdings, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SPCE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPCX,Space Exploration Technologies Corp. - Class A Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SPCX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPFI,"South Plains Financial, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SPFI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPG,"Simon Property Group, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SPG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPGI,S&P Global Inc. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SPGI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPH,"Suburban Propane Partners, L.P. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SPH,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPHL,Springview Holdings Ltd - Ordinary shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SPHL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPHR,Sphere Entertainment Co. Class A Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SPHR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPIR,"Spire Global, Inc. Class A Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SPIR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPMC,"Sound Point Meridian Capital, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SPMC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPNT,SiriusPoint Ltd. Common Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SPNT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SPOK,"Spok Holdings, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SPOK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
