CDE	nasdaqtrader:N:CDE
ONDS	nasdaqtrader:Q:ONDS
IREN	nasdaqtrader:Q:IREN
CLS	nasdaqtrader:N:CLS
NXT	nasdaqtrader:Q:NXT
EQX	nasdaqtrader:A:EQX
AA	nasdaqtrader:N:AA
B	nasdaqtrader:N:B
AU	nasdaqtrader:N:AU
PAAS	nasdaqtrader:N:PAAS
RIG	nasdaqtrader:N:RIG
FTAI	nasdaqtrader:Q:FTAI
CIEN	nasdaqtrader:N:CIEN
NBIS	nasdaqtrader:Q:NBIS
BE	nasdaqtrader:N:BE
AXTI	nasdaqtrader:Q:AXTI
GLW	nasdaqtrader:N:GLW
ON	nasdaqtrader:Q:ON
AAOI	nasdaqtrader:Q:AAOI
WULF	nasdaqtrader:Q:WULF
RKLB	nasdaqtrader:Q:RKLB
WDC	nasdaqtrader:Q:WDC
NOK	nasdaqtrader:N:NOK
SNDK	nasdaqtrader:Q:SNDK
MCHP	nasdaqtrader:Q:MCHP
CAT	nasdaqtrader:N:CAT
TER	nasdaqtrader:Q:TER
FN	nasdaqtrader:N:FN
FLEX	nasdaqtrader:Q:FLEX
VRT	nasdaqtrader:N:VRT
INTC	nasdaqtrader:Q:INTC
STX	nasdaqtrader:Q:STX
STM	nasdaqtrader:N:STM
NVMI	nasdaqtrader:Q:NVMI
MTZ	nasdaqtrader:N:MTZ
ALGM	nasdaqtrader:Q:ALGM
MOD	nasdaqtrader:N:MOD
AGI	nasdaqtrader:N:AGI
RMBS	nasdaqtrader:Q:RMBS
EXK	nasdaqtrader:N:EXK
VERA	nasdaqtrader:Q:VERA
LUMN	nasdaqtrader:N:LUMN
VIAV	nasdaqtrader:Q:VIAV
POWL	nasdaqtrader:Q:POWL
HUT	nasdaqtrader:Q:HUT
TTMI	nasdaqtrader:Q:TTMI
MXL	nasdaqtrader:Q:MXL
GFS	nasdaqtrader:Q:GFS
AMKR	nasdaqtrader:Q:AMKR
CIFR	nasdaqtrader:Q:CIFR
GOOG	nasdaqtrader:Q:GOOG
GOOGL	nasdaqtrader:Q:GOOGL
SLB	nasdaqtrader:N:SLB
MPWR	nasdaqtrader:Q:MPWR
GVA	nasdaqtrader:N:GVA
ELAN	nasdaqtrader:N:ELAN
ICLN	US:ICLN
RGLD	nasdaqtrader:Q:RGLD
ERIC	nasdaqtrader:Q:ERIC
SAIA	nasdaqtrader:Q:SAIA
HAL	nasdaqtrader:N:HAL
DY	nasdaqtrader:N:DY
CCJ	nasdaqtrader:N:CCJ
RRX	nasdaqtrader:N:RRX
CHRW	nasdaqtrader:Q:CHRW
LYB	nasdaqtrader:N:LYB
KGC	nasdaqtrader:N:KGC
HII	nasdaqtrader:N:HII
AEM	nasdaqtrader:N:AEM
DOW	nasdaqtrader:N:DOW
VFC	nasdaqtrader:N:VFC
BIDU	nasdaqtrader:Q:BIDU
GFI	nasdaqtrader:N:GFI
IONS	nasdaqtrader:Q:IONS
MEOH	nasdaqtrader:Q:MEOH
FSM	nasdaqtrader:N:FSM
CECO	nasdaqtrader:Q:CECO
AUGO	nasdaqtrader:Q:AUGO
JBL	nasdaqtrader:N:JBL
Q	nasdaqtrader:N:Q
ESI	nasdaqtrader:N:ESI
HCA	nasdaqtrader:N:HCA
MTSI	nasdaqtrader:Q:MTSI
NU	nasdaqtrader:N:NU
SIMO	nasdaqtrader:Q:SIMO
SYNA	nasdaqtrader:Q:SYNA
NXPI	nasdaqtrader:Q:NXPI
SANM	nasdaqtrader:Q:SANM
MKSI	nasdaqtrader:Q:MKSI
RIOT	nasdaqtrader:Q:RIOT
SEI	nasdaqtrader:N:SEI
MYRG	nasdaqtrader:Q:MYRG
BABA	nasdaqtrader:N:BABA
DOCN	nasdaqtrader:N:DOCN
TSLA	nasdaqtrader:Q:TSLA
ASTS	nasdaqtrader:Q:ASTS
EGO	nasdaqtrader:N:EGO
AKAM	nasdaqtrader:Q:AKAM
KLAC	nasdaqtrader:Q:KLAC
ARM	nasdaqtrader:Q:ARM
TPL	nasdaqtrader:N:TPL
RIO	nasdaqtrader:N:RIO
UTHR	nasdaqtrader:Q:UTHR
XPO	nasdaqtrader:N:XPO
SU	nasdaqtrader:N:SU
MDGL	nasdaqtrader:Q:MDGL
GMED	nasdaqtrader:N:GMED
BTU	nasdaqtrader:N:BTU
UI	nasdaqtrader:N:UI
F	nasdaqtrader:N:F
FSLR	nasdaqtrader:Q:FSLR
FPS	nasdaqtrader:N:FPS
PLD	nasdaqtrader:N:PLD
XLE	US:XLE
HLT	nasdaqtrader:N:HLT
BKR	nasdaqtrader:Q:BKR
CVX	nasdaqtrader:N:CVX
XOM	nasdaqtrader:N:XOM
COP	nasdaqtrader:N:COP
MAR	nasdaqtrader:Q:MAR
