ticker,company,contract_id,issuer_id,issuer_cik,security_type,instrument_status,exchange,sector,industry,current_price,reference_52w_high,market_cap,avg_dollar_volume,return_1m_pct,return_3m_pct,return_6m_pct,return_12m_pct,drawdown_pct,historical_volatility_pct,trading_history_days,momentum_history_status,data_integrity_status,as_of,l2_status,l2_setup_score,l2_confidence_pct,l2_quality_prior_score,l2_room_to_target_score,setup_prior_growth,setup_pullback_geometry,setup_liquidity,setup_data_completeness,setup_model_version,l2_rules_hash
ELTX,"Elicio Therapeutics, Inc. - Common Stock",nasdaqtrader:Q:ELTX,SECURITY:ELTX:nasdaqtrader:Q:ELTX,,common_equity,eligible,Q,,,3.13,14.85,,7345497.111111111,1.6233766233766156,-65.8669574700109,-64.75225225225225,-73.4295415959253,78.92255892255892,51.50136514074431,277.0,full,usable,2026-08-19,conditional,45.43,100.0,,,25.0,30.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ELV,"Elevance Health, Inc. Common Stock",nasdaqtrader:N:ELV,SECURITY:ELV:nasdaqtrader:N:ELV,,common_equity,eligible,N,,,398.45,426.79,,598984978.2001587,1.2733834892232565,-0.9496109578144063,15.079135859519411,28.814819604293284,6.640268047517517,39.18440848972018,277.0,full,usable,2026-08-19,conditional,67.71,100.0,,,77.0,28.0,100.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ELVA,Electrovaya Inc. - Common Shares,nasdaqtrader:Q:ELVA,SECURITY:ELVA:nasdaqtrader:Q:ELVA,,common_equity,eligible,Q,,,7.32,12.26,,10633541.602063492,-28.164867517173697,-22.703273495248155,-10.184049079754597,52.18295218295219,40.293637846655784,170.4153214129884,277.0,full,usable,2026-08-19,conditional,88.64,100.0,,,95.0,95.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ELVN,"Enliven Therapeutics, Inc.  - Common Stock",nasdaqtrader:Q:ELVN,SECURITY:ELVN:nasdaqtrader:Q:ELVN,,common_equity,eligible,Q,,,59.39,61.11,,68242750.33492064,9.313454813178733,47.84665173014686,125.21805081532045,200.70886075949366,2.81459662902962,40.04514223429362,277.0,full,usable,2026-08-19,conditional,55.86,100.0,,,73.0,10.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ELVR,Elevra Lithium Limited - American Depository Shares,nasdaqtrader:Q:ELVR,SECURITY:ELVR:nasdaqtrader:Q:ELVR,,adr,eligible,Q,,,61.12,102.33,,8468892.191428572,7.567757831749389,-23.513953197347014,7.492085824832917,,40.27167008697352,60.77571799046135,243.0,limited_but_usable,usable,2026-08-19,conditional,78.36,100.0,,,59.0,95.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ELWT,"Elauwit Connection, Inc. - Common Stock",nasdaqtrader:Q:ELWT,SECURITY:ELWT:nasdaqtrader:Q:ELWT,,common_equity,eligible,Q,,,7.52,8.84,,201219.72507936507,7.428571428571429,-5.408805031446551,25.124792013311147,,14.932126696832581,103.27914232625727,197.0,limited_but_usable,usable,2026-08-19,rejected,57.57,100.0,,,49.0,82.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
EMA,Emera Incorporated Common Shares,nasdaqtrader:N:EMA,SECURITY:EMA:nasdaqtrader:N:EMA,,common_equity,eligible,N,,,51.63,55.11,,26002171.213015873,-3.639417693169089,-1.5070583746661592,1.4541167223423024,8.170961659333775,6.314643440391943,14.791664533361379,277.0,full,usable,2026-08-19,conditional,64.0,100.0,,,79.0,28.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
EMAT,Evolution Metals & Technologies Corp. - Common Stock,nasdaqtrader:Q:EMAT,SECURITY:EMAT:nasdaqtrader:Q:EMAT,,common_equity,eligible,Q,,,2.85,21.29,,962372.7574603175,-46.72897196261682,-59.285714285714285,-78.27743902439023,,86.61343353687177,141.35525431531227,156.0,limited_but_usable,usable,2026-08-19,rejected,31.29,100.0,,,22.0,30.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
EMBC,Embecta Corp. - Common Stock,nasdaqtrader:Q:EMBC,SECURITY:EMBC:nasdaqtrader:Q:EMBC,,common_equity,eligible,Q,,,5.42,15.31,,6919614.3533333335,60.83086053412463,86.89655172413792,-48.282442748091604,-59.79228486646883,64.59830176355324,89.16123306730907,277.0,full,usable,2026-08-19,conditional,68.29,100.0,,,55.0,70.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
EMBJ,Embraer S.A. Common Stock,nasdaqtrader:N:EMBJ,SECURITY:EMBJ:nasdaqtrader:N:EMBJ,,common_equity,eligible,N,,,77.75,79.89,,80953588.07952382,18.75668244997708,43.13328424153167,7.911172796668975,34.37608019357068,2.6786831893854,30.214040078449745,277.0,full,usable,2026-08-19,conditional,56.43,100.0,,,75.0,10.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
EME,"EMCOR Group, Inc. Common Stock",nasdaqtrader:N:EME,SECURITY:EME:nasdaqtrader:N:EME,,common_equity,eligible,N,,,805.78,943.75,,348552863.4028572,5.9860312783616365,-5.6861276276979345,2.90143794856077,31.46577041049403,14.619337748344375,62.45763388825477,277.0,full,usable,2026-08-19,conditional,88.14,100.0,,,87.0,82.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
EML,Eastern Company (The) - Common Stock,nasdaqtrader:Q:EML,SECURITY:EML:nasdaqtrader:Q:EML,,common_equity,eligible,Q,,,24.63,29.385,,774853.0427777778,-0.3640776699029069,20.087762067284242,33.4959349593496,9.030544488711811,16.181725370086784,33.814827797847805,277.0,full,usable,2026-08-19,rejected,59.86,100.0,,,57.0,82.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
EMN,Eastman Chemical Company Common Stock,nasdaqtrader:N:EMN,SECURITY:EMN:nasdaqtrader:N:EMN,,common_equity,eligible,N,,,75.16,81.36,,85297426.79873015,8.943325119582557,10.28613352898018,-6.354348367804641,14.294403892944029,7.620452310717796,24.58554946657348,277.0,full,usable,2026-08-19,conditional,60.57,100.0,,,67.0,28.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
EMPD,Empery Digital Inc. - Common stock,nasdaqtrader:Q:EMPD,SECURITY:EMPD:nasdaqtrader:Q:EMPD,,common_equity,eligible,Q,,,2.84,8.0,,1358066.500873016,-19.318181818181824,-41.07883817427387,-23.24324324324325,-60.71922544951591,64.5,64.43062236667546,277.0,full,usable,2026-08-19,rejected,58.43,100.0,,,67.0,70.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
EMR,Emerson Electric Company Common Stock,nasdaqtrader:N:EMR,SECURITY:EMR:nasdaqtrader:N:EMR,,common_equity,eligible,N,,,157.6,164.38,,412933731.3666666,13.169610799942566,20.62763107539225,4.274182876802968,19.547902601835677,4.124589366102938,31.34470444501456,277.0,full,usable,2026-08-19,conditional,59.0,100.0,,,75.0,10.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENB,Enbridge Inc Common Stock,nasdaqtrader:N:ENB,SECURITY:ENB:nasdaqtrader:N:ENB,,common_equity,eligible,N,,,50.25,58.04,,234388723.80873019,-9.394157951676885,-11.516111991547806,-1.2576144625663255,7.670880651382039,13.42177808407994,18.115014414641248,277.0,full,usable,2026-08-19,conditional,85.86,100.0,,,79.0,82.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENGN,enGene Therapeutics Inc. - Common Stock,nasdaqtrader:Q:ENGN,SECURITY:ENGN:nasdaqtrader:Q:ENGN,,common_equity,eligible,Q,,,1.85,12.17,,1730911.2142063493,-4.145077720207246,20.915032679738577,-81.610337972167,-50.26881720430107,84.7986852917009,46.66907373554202,277.0,full,usable,2026-08-19,rejected,33.57,100.0,,,30.0,30.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENGS,Energys Group Limited - Ordinary Shares,nasdaqtrader:Q:ENGS,SECURITY:ENGS:nasdaqtrader:Q:ENGS,,common_equity,eligible,Q,,,2.88,12.22,,2320015.2424603174,5.109489051094873,92.0,201.0662763955676,-15.789473684210531,76.43207855973813,61.94774351788948,277.0,full,usable,2026-08-19,conditional,49.21,100.0,,,51.0,30.0,45.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENHA,Enhanced Group Inc. Class A Common Stock,nasdaqtrader:N:ENHA,NAMECLASS:ENHANCED GROUP INC,,common_equity,eligible,N,,,1.61,11.19,,3641834.2593650795,-45.608108108108105,-69.3916349809886,-84.0699733839928,,85.61215370866846,131.42053205353378,246.0,limited_but_usable,usable,2026-08-19,conditional,40.93,100.0,,,22.0,30.0,45.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),nasdaqtrader:N:ENIC,SECURITY:ENIC:nasdaqtrader:N:ENIC,,adr,eligible,N,,,4.52,4.7,,2512202.8433333333,3.1963470319634535,7.363420427553424,9.975669099756669,33.33333333333333,3.82978723404257,24.4808166477896,277.0,full,usable,2026-08-19,conditional,48.93,100.0,,,75.0,10.0,45.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENLT,Enlight Renewable Energy Ltd. - Ordinary Shares,nasdaqtrader:Q:ENLT,SECURITY:ENLT:nasdaqtrader:Q:ENLT,,common_equity,eligible,Q,,,80.58,107.42,,21869460.17111111,-9.976538934197299,-5.666120346523062,10.428943401397838,192.48638838475495,24.986036119903186,64.608163941217,277.0,full,usable,2026-08-19,conditional,87.57,100.0,,,95.0,92.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENLV,Enlivex Ltd. - Ordinary Shares,nasdaqtrader:Q:ENLV,SECURITY:ENLV:nasdaqtrader:Q:ENLV,,common_equity,eligible,Q,,,1.73,18.15,,572063.9553015874,-63.42494714587738,-83.6329233680227,-89.70238095238095,-90.77333333333333,90.46831955922865,205.73004609830176,277.0,full,usable,2026-08-19,rejected,25.0,100.0,,,0.0,30.0,0.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENOV,Enovis Corporation Common Stock,nasdaqtrader:N:ENOV,SECURITY:ENOV:nasdaqtrader:N:ENOV,,common_equity,eligible,N,,,26.5,33.32,,29097362.88904762,-2.2140221402214055,2.8726708074534146,20.072496601721788,-10.321489001692052,20.468187274909965,77.31541363046222,277.0,full,usable,2026-08-19,conditional,82.29,100.0,,,63.0,92.0,80.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENPH,"Enphase Energy, Inc. - Common Stock",nasdaqtrader:Q:ENPH,SECURITY:ENPH:nasdaqtrader:Q:ENPH,,common_equity,eligible,Q,,,39.37,72.33,,320496292.0214285,-1.427140711066599,-15.804106073567148,-14.487402258905302,10.064299692479706,45.56892022673856,64.45504732111765,277.0,full,usable,2026-08-19,conditional,90.5,100.0,,,79.0,95.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENR,"Energizer Holdings, Inc. Common Stock",nasdaqtrader:N:ENR,SECURITY:ENR:nasdaqtrader:N:ENR,,common_equity,eligible,N,,,21.72,29.66,,22132614.836031746,8.16733067729083,33.82624768946394,-4.862023653088043,-20.874316939890715,26.770060687795016,33.581593381372336,277.0,full,usable,2026-08-19,conditional,77.86,100.0,,,61.0,92.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENRD,Einride AB - American Depositary Shares,nasdaqtrader:Q:ENRD,SECURITY:ENRD:nasdaqtrader:Q:ENRD,,adr,eligible,Q,,,6.04,14.99,,1085948.3697755102,30.45356371490282,,,,59.70647098065377,109.18141771195371,49.0,insufficient,usable,2026-08-19,rejected,,71.43,,,,70.0,0.0,76.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENS,EnerSys Common Stock,nasdaqtrader:N:ENS,SECURITY:ENS:nasdaqtrader:N:ENS,,common_equity,eligible,N,,,193.95,243.34,,118265985.4495238,-3.6560528538075676,-10.790672002207813,10.23017902813299,94.67028003613369,20.296704199884942,42.45415094831076,277.0,full,usable,2026-08-19,conditional,94.0,100.0,,,95.0,92.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENSG,"The Ensign Group, Inc. - Common Stock",nasdaqtrader:Q:ENSG,SECURITY:ENSG:nasdaqtrader:Q:ENSG,,common_equity,eligible,Q,,,182.49,215.83,,124992126.67793651,6.8004916018025385,3.752345215759867,-13.083444465612493,11.233694989637932,15.44734281610527,21.9272648801455,277.0,full,usable,2026-08-19,conditional,85.86,100.0,,,79.0,82.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENTA,"Enanta Pharmaceuticals, Inc. - Common Stock",nasdaqtrader:Q:ENTA,SECURITY:ENTA:nasdaqtrader:Q:ENTA,,common_equity,eligible,Q,,,13.51,16.85,,2736628.660952381,0.6706408345752646,-1.8168604651162767,-2.735781137509008,65.36107711138311,19.8219584569733,38.610792530011,277.0,full,usable,2026-08-19,conditional,80.36,100.0,,,95.0,82.0,45.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENTG,"Entegris, Inc. - Common Stock",nasdaqtrader:Q:ENTG,SECURITY:ENTG:nasdaqtrader:Q:ENTG,,common_equity,eligible,Q,,,144.28,184.0,,460025150.81817466,2.932153813226801,16.148768314281114,9.394192129805145,84.00714194618035,21.586956521739133,86.10408389648995,277.0,full,usable,2026-08-19,conditional,90.57,100.0,,,83.0,92.0,92.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
ENTX,Entera Bio Ltd. - Ordinary Shares,nasdaqtrader:Q:ENTX,SECURITY:ENTX:nasdaqtrader:Q:ENTX,,common_equity,eligible,Q,,,3.11,3.92,,7420694.702301587,58.673469387755105,144.8818897637795,122.14285714285715,55.49999999999999,20.663265306122447,207.2160935798422,277.0,full,usable,2026-08-19,conditional,81.29,100.0,,,73.0,92.0,62.0,100.0,2.2.0,c8f1bf1665a8c5dfb834c0571e7dd5f6b6e5ccd00eab00295338bd42cfde549b
